id	kegg_pathway
gene_935	ko00260(Glycine, serine and threonine metabolism);ko00630(Glyoxylate and dicarboxylate metabolism);ko00620(Pyruvate metabolism)
gene_936	NA
gene_937	ko00190(Oxidative phosphorylation)
gene_938	ko04080(Neuroactive ligand-receptor interaction);ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
gene_939	NA
gene_940	NA
gene_941	ko03010(Ribosome)
gene_942	ko03010(Ribosome)
gene_943	ko03010(Ribosome)
gene_944	NA
gene_945	NA
gene_946	ko03010(Ribosome)
gene_947	NA
gene_948	ko04080(Neuroactive ligand-receptor interaction);ko04610(Complement and coagulation cascades)
gene_949	NA
gene_950	ko04145(Phagosome);ko04610(Complement and coagulation cascades)
gene_951	NA
gene_952	ko04145(Phagosome);ko04610(Complement and coagulation cascades)
gene_953	NA
gene_954	ko04145(Phagosome);ko04610(Complement and coagulation cascades)
gene_955	ko04145(Phagosome);ko04610(Complement and coagulation cascades)
gene_956	NA
gene_957	ko04152(AMPK signaling pathway);ko04921(Oxytocin signaling pathway)
gene_958	NA
gene_959	ko00480(Glutathione metabolism);ko00982(Drug metabolism - cytochrome P450);ko00980(Metabolism of xenobiotics by cytochrome P450)
gene_960	NA
gene_961	NA
gene_962	ko04145(Phagosome);ko04610(Complement and coagulation cascades)
gene_963	NA
gene_964	NA
gene_965	ko04013(MAPK signaling pathway - fly)
gene_966	NA
gene_967	NA
gene_968	NA
gene_969	ko03010(Ribosome)
gene_970	NA
gene_971	NA
gene_972	ko00380(Tryptophan metabolism)
gene_973	ko03060(Protein export);ko04141(Protein processing in endoplasmic reticulum);ko04918(Thyroid hormone synthesis)
gene_974	NA
gene_975	NA
gene_976	ko04216(Ferroptosis);ko00860(Porphyrin and chlorophyll metabolism)
gene_977	NA
gene_978	NA
gene_979	ko04080(Neuroactive ligand-receptor interaction);ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
gene_980	NA
gene_981	ko03010(Ribosome)
gene_982	NA
gene_983	NA
gene_984	ko04013(MAPK signaling pathway - fly)
gene_985	NA
gene_986	ko04013(MAPK signaling pathway - fly)
gene_987	NA
gene_988	ko04013(MAPK signaling pathway - fly)
gene_989	ko04013(MAPK signaling pathway - fly)
gene_990	NA
gene_991	ko04217(Necroptosis);ko04020(Calcium signaling pathway);ko04022(cGMP - PKG signaling pathway)
gene_992	NA
gene_993	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
gene_994	ko00190(Oxidative phosphorylation);ko04260(Cardiac muscle contraction)
gene_995	ko04145(Phagosome);ko04610(Complement and coagulation cascades)
gene_996	ko04013(MAPK signaling pathway - fly)
gene_997	NA
gene_998	ko03010(Ribosome)
gene_999	ko04013(MAPK signaling pathway - fly)
gene_1000	ko04013(MAPK signaling pathway - fly)
