id	biological_process	cellular_component	molecular_function
gene_740	NA	NA	NA
gene_741	GO:0008203(cholesterol metabolic process);GO:0034375(high-density lipoprotein particle remodeling);GO:0043691(reverse cholesterol transport);GO:0034197(triglyceride transport);GO:0034372(very-low-density lipoprotein particle remodeling)	GO:0034364(high-density lipoprotein particle)	GO:0120020(cholesterol transfer activity);GO:0008289(lipid binding)
gene_742	NA	NA	NA
gene_743	GO:0032964(collagen biosynthetic process);GO:0048264(determination of ventral identity);GO:0033333(fin development);GO:0001503(ossification);GO:0001501(skeletal system development)	NA	GO:0005509(calcium ion binding);GO:0004222(metalloendopeptidase activity);GO:0008270(zinc ion binding)
gene_744	NA	NA	NA
gene_745	NA	NA	NA
gene_746	GO:0007420(brain development);GO:0043009(chordate embryonic development);GO:0030218(erythrocyte differentiation);GO:0051726(regulation of cell cycle);GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_747	GO:0015986(ATP synthesis coupled proton transport)	GO:0045261(proton-transporting ATP synthase complex, catalytic core F(1))	GO:0005524(ATP binding);GO:0046933(proton-transporting ATP synthase activity, rotational mechanism)
gene_748	NA	NA	NA
gene_749	NA	NA	NA
gene_750	GO:0006412(translation)	GO:0005840(ribosome)	GO:0019843(rRNA binding);GO:0003735(structural constituent of ribosome)
gene_751	NA	NA	NA
gene_752	NA	NA	NA
gene_753	NA	NA	NA
gene_754	NA	NA	NA
gene_755	NA	NA	GO:0046872(metal ion binding)
gene_756	GO:0006508(proteolysis)	GO:0005576(extracellular region)	NA
gene_757	GO:0045454(cell redox homeostasis)	GO:0005623(cell)	GO:0051920(peroxiredoxin activity)
gene_758	NA	GO:0016021(integral component of membrane);GO:0005743(mitochondrial inner membrane)	GO:0008137(NADH dehydrogenase (ubiquinone) activity)
gene_759	GO:0006953(acute-phase response);GO:0007596(blood coagulation)	GO:0005576(extracellular region)	GO:0005509(calcium ion binding);GO:0004252(serine-type endopeptidase activity)
gene_760	NA	NA	NA
gene_761	NA	NA	NA
gene_762	NA	NA	NA
gene_763	GO:0015986(ATP synthesis coupled proton transport)	GO:0016021(integral component of membrane);GO:0000276(mitochondrial proton-transporting ATP synthase complex, coupling factor F(o));GO:0045263(proton-transporting ATP synthase complex, coupling factor F(o))	GO:0008289(lipid binding);GO:0046933(proton-transporting ATP synthase activity, rotational mechanism);GO:0015078(proton transmembrane transporter activity)
gene_764	NA	NA	NA
gene_765	GO:1901137(carbohydrate derivative biosynthetic process);GO:0002063(chondrocyte development);GO:0048703(embryonic viscerocranium morphogenesis);GO:0030318(melanocyte differentiation);GO:0007528(neuromuscular junction development);GO:0007519(skeletal muscle tissue development)	NA	GO:0097367(carbohydrate derivative binding);GO:0004360(glutamine-fructose-6-phosphate transaminase (isomerizing) activity)
gene_766	GO:0009058(biosynthetic process)	NA	GO:0003824(catalytic activity);GO:0030170(pyridoxal phosphate binding)
gene_767	NA	NA	NA
gene_768	NA	NA	NA
gene_769	NA	NA	NA
gene_770	NA	NA	NA
gene_771	GO:0006412(translation)	GO:0005840(ribosome)	GO:0019843(rRNA binding);GO:0003735(structural constituent of ribosome)
gene_772	NA	NA	NA
gene_773	NA	NA	NA
gene_774	NA	NA	NA
gene_775	GO:0006334(nucleosome assembly);GO:0001878(response to yeast)	GO:0005634(nucleus)	NA
gene_776	NA	NA	NA
gene_777	NA	NA	GO:0005525(GTP binding)
gene_778	NA	NA	NA
gene_779	NA	NA	NA
gene_780	NA	GO:0016021(integral component of membrane)	NA
gene_781	NA	NA	NA
gene_782	NA	NA	NA
gene_783	NA	NA	NA
gene_784	NA	NA	NA
gene_785	NA	NA	NA
gene_786	NA	NA	NA
gene_787	NA	NA	NA
gene_788	NA	GO:0016021(integral component of membrane)	GO:0004896(cytokine receptor activity)
gene_789	NA	NA	NA
gene_790	NA	NA	NA
gene_791	NA	NA	NA
gene_792	NA	NA	NA
gene_793	NA	NA	NA
gene_794	NA	NA	NA
gene_795	NA	NA	NA
gene_796	NA	NA	NA
gene_797	NA	NA	NA
gene_798	NA	NA	NA
gene_799	GO:0006811(ion transport);GO:0055072(iron ion homeostasis)	GO:0005615(extracellular space)	GO:0046872(metal ion binding)
gene_800	NA	NA	NA
gene_801	NA	NA	GO:0004252(serine-type endopeptidase activity)
gene_802	NA	NA	NA
gene_803	NA	NA	GO:0030246(carbohydrate binding)
gene_804	NA	NA	NA
gene_805	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_806	NA	NA	NA
gene_807	NA	NA	NA
gene_808	NA	NA	NA
gene_809	NA	NA	GO:0008170(N-methyltransferase activity)
gene_810	GO:0015746(citrate transport)	GO:0016021(integral component of membrane)	GO:0022857(transmembrane transporter activity)
gene_811	GO:0006955(immune response)	GO:0005576(extracellular region)	GO:0008009(chemokine activity)
gene_812	GO:0006605(protein targeting)	GO:0016021(integral component of membrane)	GO:0015450(P-P-bond-hydrolysis-driven protein transmembrane transporter activity)
gene_813	GO:0032259(methylation);GO:0006364(rRNA processing)	NA	GO:0003723(RNA binding);GO:0008757(S-adenosylmethionine-dependent methyltransferase activity)
gene_814	NA	NA	NA
gene_815	NA	NA	NA
gene_816	NA	NA	NA
gene_817	NA	NA	NA
gene_818	NA	NA	NA
gene_819	NA	NA	NA
gene_820	GO:0007596(blood coagulation);GO:0042730(fibrinolysis);GO:0048771(tissue remodeling)	GO:0005576(extracellular region)	GO:0004252(serine-type endopeptidase activity)
gene_821	NA	NA	NA
gene_822	NA	NA	NA
gene_823	NA	NA	NA
gene_824	NA	NA	NA
gene_825	NA	NA	NA
gene_826	NA	NA	NA
gene_827	NA	NA	NA
gene_828	NA	NA	NA
gene_829	NA	NA	GO:0016491(oxidoreductase activity)
gene_830	NA	NA	GO:0004129(cytochrome-c oxidase activity)
gene_831	GO:0007596(blood coagulation)	GO:0005576(extracellular region)	GO:0005509(calcium ion binding);GO:0004252(serine-type endopeptidase activity)
gene_832	NA	NA	NA
gene_833	NA	NA	NA
gene_834	NA	NA	NA
gene_835	GO:0006487(protein N-linked glycosylation)	GO:0016021(integral component of membrane);GO:0034998(oligosaccharyltransferase I complex)	NA
gene_836	NA	NA	NA
gene_837	NA	NA	NA
gene_838	NA	NA	NA
gene_839	NA	NA	NA
gene_840	NA	NA	GO:0004222(metalloendopeptidase activity);GO:0008270(zinc ion binding)
gene_841	GO:0000028(ribosomal small subunit assembly)	GO:0022627(cytosolic small ribosomal subunit)	GO:0003735(structural constituent of ribosome)
gene_842	GO:0070125(mitochondrial translational elongation)	GO:0005739(mitochondrion)	GO:0005525(GTP binding);GO:0003924(GTPase activity);GO:0003746(translation elongation factor activity)
gene_843	NA	NA	NA
gene_844	GO:0015986(ATP synthesis coupled proton transport)	GO:0000276(mitochondrial proton-transporting ATP synthase complex, coupling factor F(o))	GO:0015078(proton transmembrane transporter activity)
gene_845	NA	NA	NA
gene_846	NA	NA	GO:0004181(metallocarboxypeptidase activity);GO:0008270(zinc ion binding)
gene_847	NA	NA	NA
gene_848	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_849	GO:0006954(inflammatory response);GO:0050994(regulation of lipid catabolic process)	NA	GO:0005102(signaling receptor binding)
gene_850	NA	NA	NA
gene_851	NA	NA	NA
gene_852	NA	NA	NA
gene_853	NA	NA	NA
gene_854	NA	NA	NA
gene_855	NA	NA	NA
gene_856	NA	NA	NA
gene_857	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_858	NA	NA	NA
gene_859	NA	NA	NA
gene_860	NA	NA	NA
gene_861	NA	NA	NA
gene_862	NA	NA	GO:0016491(oxidoreductase activity)
gene_863	GO:0006120(mitochondrial electron transport, NADH to ubiquinone)	GO:0016021(integral component of membrane);GO:0005747(mitochondrial respiratory chain complex I)	GO:0008137(NADH dehydrogenase (ubiquinone) activity)
gene_864	GO:0035435(phosphate ion transmembrane transport)	GO:0031305(integral component of mitochondrial inner membrane)	GO:0005315(inorganic phosphate transmembrane transporter activity)
gene_865	NA	NA	NA
gene_866	NA	NA	NA
gene_867	NA	NA	NA
gene_868	NA	NA	NA
gene_869	NA	NA	NA
gene_870	NA	NA	NA
gene_871	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_872	NA	NA	NA
gene_873	NA	NA	GO:0003824(catalytic activity)
gene_874	NA	NA	NA
gene_875	NA	NA	NA
gene_876	NA	NA	NA
gene_877	GO:0006412(translation)	GO:0015934(large ribosomal subunit)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)
gene_878	NA	NA	NA
gene_879	GO:0006412(translation);GO:0002181(cytoplasmic translation)	GO:0005840(ribosome);GO:0022627(cytosolic small ribosomal subunit);GO:0042788(polysomal ribosome)	GO:0003735(structural constituent of ribosome);GO:0008270(zinc ion binding);GO:0016787(hydrolase activity);GO:0003723(RNA binding)
gene_880	GO:0006953(acute-phase response);GO:0007596(blood coagulation)	GO:0005576(extracellular region)	GO:0005509(calcium ion binding);GO:0004252(serine-type endopeptidase activity)
gene_881	NA	NA	NA
gene_882	GO:0019941(modification-dependent protein catabolic process);GO:0016567(protein ubiquitination)	GO:0005737(cytoplasm);GO:0005634(nucleus);GO:0005840(ribosome)	GO:0031386(protein tag);GO:0031625(ubiquitin protein ligase binding)
gene_883	NA	NA	NA
gene_884	NA	NA	NA
gene_885	GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane)	NA
gene_886	GO:0043009(chordate embryonic development);GO:0006414(translational elongation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_887	GO:0006412(translation)	GO:0005840(ribosome)	GO:0046872(metal ion binding);GO:0003735(structural constituent of ribosome)
gene_888	NA	NA	NA
gene_889	GO:0006120(mitochondrial electron transport, NADH to ubiquinone)	GO:0016021(integral component of membrane);GO:0005743(mitochondrial inner membrane);GO:0070469(respirasome)	GO:0008137(NADH dehydrogenase (ubiquinone) activity)
gene_890	NA	NA	GO:0005504(fatty acid binding)
gene_891	NA	GO:0016021(integral component of membrane)	GO:0004129(cytochrome-c oxidase activity)
gene_892	NA	NA	GO:0016301(kinase activity)
gene_893	NA	NA	NA
gene_894	GO:0006406(mRNA export from nucleus);GO:0043248(proteasome assembly)	GO:0008541(proteasome regulatory particle, lid subcomplex)	NA
gene_895	NA	NA	NA
gene_896	NA	NA	NA
gene_897	NA	NA	NA
gene_898	NA	NA	NA
gene_899	NA	NA	NA
gene_900	NA	NA	NA
gene_901	NA	NA	NA
gene_902	GO:0032259(methylation);GO:0006364(rRNA processing)	NA	GO:0003723(RNA binding);GO:0008757(S-adenosylmethionine-dependent methyltransferase activity)
gene_903	NA	NA	NA
gene_904	GO:0008610(lipid biosynthetic process)	GO:0016021(integral component of membrane)	GO:0005506(iron ion binding);GO:0016491(oxidoreductase activity)
gene_905	NA	NA	NA
gene_906	NA	NA	NA
gene_907	NA	GO:0016021(integral component of membrane)	GO:0004174(electron-transferring-flavoprotein dehydrogenase activity)
gene_908	NA	NA	NA
gene_909	NA	NA	NA
gene_910	NA	NA	NA
gene_911	NA	NA	NA
gene_912	GO:0002191(cap-dependent translational initiation);GO:0001732(formation of cytoplasmic translation initiation complex)	GO:0016282(eukaryotic 43S preinitiation complex);GO:0033290(eukaryotic 48S preinitiation complex);GO:0005852(eukaryotic translation initiation factor 3 complex)	GO:0098808(mRNA cap binding);GO:0003743(translation initiation factor activity)
gene_913	NA	GO:0016021(integral component of membrane)	NA
gene_914	NA	NA	NA
gene_915	NA	NA	NA
gene_916	NA	NA	NA
gene_917	NA	NA	GO:0016620(oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor)
gene_918	NA	NA	NA
gene_919	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_920	NA	NA	NA
gene_921	GO:0006412(translation)	GO:0022625(cytosolic large ribosomal subunit)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)
gene_922	NA	NA	NA
gene_923	NA	NA	NA
gene_924	NA	NA	NA
gene_925	GO:0043009(chordate embryonic development);GO:0055113(epiboly involved in gastrulation with mouth forming second);GO:0000280(nuclear division)	NA	NA
gene_926	NA	NA	NA
gene_927	NA	NA	NA
gene_928	NA	NA	NA
gene_929	NA	NA	GO:0020037(heme binding);GO:0005506(iron ion binding);GO:0016712(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen)
gene_930	GO:0055114(oxidation-reduction process)	GO:0005743(mitochondrial inner membrane);GO:0070469(respirasome)	NA
gene_931	NA	NA	GO:0003723(RNA binding)
gene_932	NA	NA	NA
gene_933	NA	NA	NA
gene_934	NA	NA	NA
gene_935	NA	GO:0005829(cytosol)	GO:0051287(NAD binding);GO:0016616(oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor);GO:0008465(glycerate dehydrogenase activity);GO:0030267(glyoxylate reductase (NADP) activity);GO:0016618(hydroxypyruvate reductase activity)
gene_936	NA	NA	NA
gene_937	NA	GO:0016021(integral component of membrane)	NA
gene_938	NA	NA	GO:0004252(serine-type endopeptidase activity)
gene_939	NA	NA	NA
gene_940	NA	NA	NA
gene_941	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_942	GO:0006412(translation);GO:0030218(erythrocyte differentiation);GO:0030490(maturation of SSU-rRNA);GO:0000462(maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA));GO:0000122(negative regulation of transcription by RNA polymerase II);GO:0000028(ribosomal small subunit assembly)	GO:0005840(ribosome);GO:0022627(cytosolic small ribosomal subunit);GO:0005730(nucleolus);GO:0014069(postsynaptic density)	GO:0003735(structural constituent of ribosome);GO:0048027(mRNA 5'-UTR binding);GO:0003723(RNA binding);GO:0070181(small ribosomal subunit rRNA binding);GO:0045182(translation regulator activity)
gene_943	GO:0006412(translation)	GO:0022627(cytosolic small ribosomal subunit);GO:0015935(small ribosomal subunit)	GO:0003735(structural constituent of ribosome)
gene_944	NA	NA	NA
gene_945	NA	NA	NA
gene_946	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_947	NA	NA	NA
gene_948	GO:0007596(blood coagulation);GO:0042730(fibrinolysis);GO:0048771(tissue remodeling)	GO:0005576(extracellular region)	GO:0004252(serine-type endopeptidase activity)
gene_949	NA	NA	NA
gene_950	NA	NA	NA
gene_951	NA	NA	GO:0005524(ATP binding);GO:0004386(helicase activity);GO:0003676(nucleic acid binding)
gene_952	NA	NA	NA
gene_953	NA	NA	NA
gene_954	NA	NA	NA
gene_955	NA	NA	NA
gene_956	NA	NA	NA
gene_957	NA	NA	NA
gene_958	NA	NA	NA
gene_959	NA	GO:0016021(integral component of membrane)	NA
gene_960	NA	NA	NA
gene_961	NA	NA	NA
gene_962	NA	NA	NA
gene_963	NA	NA	NA
gene_964	NA	NA	NA
gene_965	NA	NA	NA
gene_966	NA	NA	NA
gene_967	NA	NA	NA
gene_968	NA	GO:0016021(integral component of membrane)	NA
gene_969	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)
gene_970	NA	NA	NA
gene_971	NA	NA	NA
gene_972	GO:1904985(negative regulation of quinolinate biosynthetic process)	GO:0005829(cytosol)	GO:0001760(aminocarboxymuconate-semialdehyde decarboxylase activity);GO:0016787(hydrolase activity)
gene_973	NA	NA	GO:0005524(ATP binding)
gene_974	NA	NA	NA
gene_975	NA	NA	GO:0003824(catalytic activity)
gene_976	GO:0006879(cellular iron ion homeostasis);GO:0006826(iron ion transport)	GO:0005623(cell);GO:0005737(cytoplasm);GO:0005615(extracellular space);GO:0005634(nucleus)	GO:0005507(copper ion binding);GO:0004322(ferroxidase activity)
gene_977	NA	NA	NA
gene_978	NA	NA	NA
gene_979	NA	NA	GO:0004252(serine-type endopeptidase activity)
gene_980	NA	NA	NA
gene_981	GO:0031016(pancreas development);GO:0051726(regulation of cell cycle);GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_982	GO:0046849(bone remodeling)	GO:0005576(extracellular region)	NA
gene_983	NA	NA	NA
gene_984	GO:0006886(intracellular protein transport)	GO:0005634(nucleus)	GO:0008536(Ran GTPase binding)
gene_985	NA	NA	NA
gene_986	NA	NA	NA
gene_987	NA	GO:0005615(extracellular space)	NA
gene_988	NA	NA	NA
gene_989	NA	NA	NA
gene_990	NA	NA	NA
gene_991	NA	GO:0016021(integral component of membrane);GO:0005743(mitochondrial inner membrane)	GO:0022857(transmembrane transporter activity)
gene_992	NA	NA	NA
gene_993	NA	NA	NA
gene_994	NA	GO:0005746(mitochondrial respirasome)	GO:0004129(cytochrome-c oxidase activity)
gene_995	NA	NA	NA
gene_996	NA	NA	GO:0005525(GTP binding);GO:0003924(GTPase activity)
gene_997	NA	NA	GO:0032052(bile acid binding);GO:0008289(lipid binding)
gene_998	NA	NA	NA
gene_999	NA	NA	NA
gene_1000	NA	NA	NA
